Country;Happiness Rank;Happiness Score;Economy (GDP per Capita);Social support;Health (Life Expectancy);Freedom;Trust (Government Corruption);Generosity;Year
Benin;153;3.484;0.39499;0.10419;0.21028;0.39747;0.06681;0.2018;2016
Afghanistan;154;мар.36;0.38227;0.11037;0.17344;0.1643;0.07112;0.31268;2016
Togo;155;3.303;0.28123;0.0;0.24811;0.34678;0.11587;0.17517;2016
Syria;156;3.069;0.74719;0.14866;0.62994;0.06912;0.17233;0.48397;2016
Burundi;157;2.905;0.06831;0.23442;0.15747;0.0432;0.09419;0.2029;2016
Norway;1;7.537;1.6164632;1.5335236;0.7966665;0.6354226;0.31596383;0.36201224;2017
Denmark;2;7.522;1.482383;1.5511216;0.7925655;0.6260067;0.40077007;0.3552805;2017
Iceland;3;7.504;1.480633;1.610574;0.8335521;0.62716264;0.15352656;0.47554022;2017
Switzerland;4;7.494;1.5649796;1.5169117;0.8581313;0.6200706;0.3670073;0.29054928;2017
Finland;5;7.469;1.4435719;1.5402467;0.80915767;0.61795086;0.38261154;0.24548277;2017
Netherlands;6;7.377;1.5039446;1.4289392;0.8106961;0.5853845;0.28266183;0.47048983;2017
Canada;7;7.316;1.4792044;1.481349;0.83455765;0.6111009;0.28737152;0.43553972;2017
New Zealand;8;7.314;1.405706;1.5481951;0.8167597;0.61406213;0.3828167;0.5000051;2017
Sweden;9;7.284;1.4943873;1.4781622;0.83087516;0.6129241;0.38439873;0.38539925;2017
Australia;10;7.284;1.4844149;1.510042;0.8438868;0.6016074;0.30118373;0.47769925;2017
Israel;11;7.213;1.3753824;1.37629;0.838404;0.4059886;0.0852421;0.33008265;2017
Costa Rica;12;7.079;1.1097063;1.4164037;0.75950927;0.58013165;0.10010659;0.21461323;2017
Austria;13;7.006;1.4870973;1.459945;0.8153284;0.5677662;0.22106037;0.31647232;2017
United States;14;6.993;1.5462593;1.4199206;0.7742866;0.5057405;0.13563879;0.39257878;2017
Ireland;15;6.977;1.5357066;1.5582311;0.8097826;0.57311034;0.29838815;0.42785832;2017
Germany;16;6.951;1.4879234;1.4725204;0.79895073;0.5625114;0.27673194;0.33626917;2017
Belgium;17;6.891;1.4637808;1.4623127;0.81809187;0.5397707;0.25134313;0.23150334;2017
Luxembourg;18;6.863;1.7419436;1.4575837;0.8450895;0.5966279;0.31883442;0.28318098;2017
United Kingdom;19;6.714;1.4416339;1.4964601;0.80533594;0.50819004;0.26542807;0.49277416;2017
Chile;20;6.652;1.2527846;1.284025;0.8194797;0.37689528;0.08228798;0.32666242;2017
United Arab Emirates;21;6.648;1.6263434;1.2664102;0.72679824;0.60834527;0.32448956;0.36094195;2017
Brazil;22;6.635;1.1073532;1.431306;0.61655235;0.43745375;0.11109276;0.1623499;2017
Czech Republic;23;6.609;1.3526824;1.4338852;0.754444;0.49094617;0.036872927;0.08810676;2017
Argentina;24;6.599;1.1852955;1.4404511;0.6951371;0.4945192;0.059739888;0.10945706;2017
Mexico;25;6.578;1.1531838;1.2108622;0.709979;0.41273;0.13277411;0.12099043;2017
Singapore;26;6.572;1.6922777;1.3538144;0.9494924;0.54984057;0.46430779;0.34596598;2017
Malta;27;6.527;1.3432798;1.4884117;0.82194424;0.58876705;0.15306607;0.5747306;2017
Uruguay;28;6.454;1.2175597;1.4122279;0.7192168;0.57939225;0.17806187;0.17509693;2017
Guatemala;29;6.454;0.87200195;1.2555852;0.54024;0.5313106;0.07722328;0.2834884;2017
Panama;30;6.452;1.2337484;1.3731925;0.70615613;0.55002683;0.070983924;0.21055694;2017
France;31;6.442;1.4309235;1.3877769;0.84446585;0.47022212;0.17250243;0.1297623;2017
Thailand;32;6.424;1.1278688;1.4257925;0.647239;0.58020073;0.031612735;0.5721231;2017
Taiwan Province of China;33;6.422;1.4336265;1.3845654;0.79398423;0.3614666;0.063829236;0.25836048;2017
Spain;34;6.403;1.3843979;1.5320909;0.8889606;0.40878123;0.0709141;0.19013357;2017
Qatar;35;6.375;1.8707657;1.2742969;0.7100981;0.604131;0.43929926;0.33047387;2017
Colombia;36;6.357;1.0706223;1.4021829;0.5950279;0.47748742;0.04666874;0.14901447;2017
Saudi Arabia;37;6.344;1.5306236;1.2866776;0.5901483;0.44975057;0.27343225;0.14761601;2017
Trinidad and Tobago;38;6.168;1.3613559;1.3802285;0.5199833;0.51863074;0.008964816;0.32529646;2017
Kuwait;39;6.105;1.6329525;1.2596987;0.6321057;0.4963376;0.21515955;0.2282898;2017
Slovakia;40;6.098;1.3253936;1.5050592;0.7127329;0.29581746;0.024210852;0.13654448;2017
Bahrain;41;6.087;1.4884123;1.3231105;0.65313303;0.5367469;0.25704217;0.17266849;2017
Malaysia;42;6.084;1.2912154;1.284646;0.6187844;0.40226498;0.06560071;0.41660893;2017
Nicaragua;43;6.071;0.7372992;1.2872157;0.65309596;0.44755185;0.13068798;0.30167422;2017
Ecuador;44;6.008;1.0008204;1.2861688;0.6856362;0.4551982;0.14013465;0.15011247;2017
El Salvador;45;6.003;0.9097845;1.1821251;0.59601855;0.43245253;0.08998096;0.078257985;2017
Poland;46;5.973;1.2917879;1.445712;0.69947535;0.5203421;0.059307806;0.15846597;2017
Uzbekistan;47;5.971;0.7864411;1.5489691;0.49827263;0.65824866;0.24652822;0.41598365;2017
Italy;48;5.964;1.3950666;1.4449233;0.85314435;0.2564507;0.028028091;0.17278965;2017
Russia;49;5.963;1.2817781;1.4692824;0.54734933;0.3737831;0.03296288;0.052263822;2017
Belize;50;5.956;0.9079753;1.0814178;0.45019177;0.5475094;0.09658107;0.24001564;2017
Japan;51;май.92;1.4169152;1.4363378;0.9134759;0.50562555;0.16376074;0.12057277;2017
Lithuania;52;5.902;1.3145823;1.4735161;0.62894994;0.23423178;0.011865643;0.010164657;2017
Algeria;53;5.872;1.0918645;1.1462175;0.61758465;0.23333581;0.14609611;0.06943665;2017
Latvia;54;май.85;1.2607486;1.404715;0.638567;0.3257079;0.07384273;0.15307479;2017
South Korea;55;5.838;1.4016784;1.1282744;0.9002141;0.25792167;0.06328267;0.20667437;2017
Moldova;56;5.838;0.72887063;1.2518256;0.5894652;0.24072905;0.010091286;0.20877913;2017
Romania;57;5.825;1.2176839;1.1500913;0.6851583;0.45700374;0.0043879007;0.13351992;2017
Bolivia;58;5.823;0.83375657;1.227619;0.47363025;0.5587329;0.060477726;0.22556072;2017
Turkmenistan;59;5.822;1.1307768;1.4931492;0.43772608;0.41827193;0.25927034;0.24992499;2017
Kazakhstan;60;5.819;1.2845563;1.384369;0.60604155;0.43745428;0.11928289;0.20196442;2017
North Cyprus;61;май.81;1.3469113;1.1863034;0.83464724;0.47120363;0.15535335;0.2668457;2017
Slovenia;62;5.758;1.341206;1.4525188;0.7908282;0.5725758;0.04512898;0.2426491;2017
Peru;63;5.715;1.0352253;1.2187704;0.6301661;0.45000288;0.047049087;0.12681971;2017
Mauritius;64;5.629;1.1893955;1.209561;0.63800746;0.49124733;0.042181555;0.36093375;2017
Cyprus;65;5.621;1.3559381;1.1313633;0.8447147;0.35511154;0.041237976;0.2712543;2017
Estonia;66;5.611;1.3208793;1.4766711;0.6951683;0.47913143;0.18324892;0.09889081;2017
Belarus;67;5.569;1.1565576;1.4449452;0.63771427;0.29540026;0.15631382;0.15513751;2017
Libya;68;5.525;1.1018031;1.3575643;0.520169;0.46573323;0.09261021;0.15207367;2017
Turkey;69;05.май;1.1982744;1.3377532;0.6376056;0.3007406;0.09967158;0.046693042;2017
Paraguay;70;5.493;0.9325373;1.5072849;0.5792507;0.4735078;0.09106591;0.22415066;2017
Hong Kong S.A.R., China;71;5.472;1.5516748;1.2627909;0.9430624;0.49096864;0.29393375;0.3744658;2017
Philippines;72;май.43;0.8576992;1.2539176;0.46800905;0.5852147;0.09933189;0.19351342;2017
Serbia;73;5.395;1.0693176;1.2581898;0.6507847;0.20871553;0.04090378;0.22012588;2017
Jordan;74;5.336;0.9910124;1.2390889;0.60459006;0.41842115;0.11980327;0.17217046;2017
Hungary;75;5.324;1.2860119;1.3431331;0.68776345;0.17586352;0.036636937;0.07840166;2017
Jamaica;76;5.311;0.9255793;1.3682181;0.6410224;0.47430724;0.05526778;0.23381834;2017
Croatia;77;5.293;1.2225562;0.967983;0.7012885;0.2557723;0.04310311;0.24800298;2017
Kosovo;78;5.279;0.9514844;1.1378535;0.54145205;0.26028794;0.057471618;0.31993145;2017
China;79;5.273;1.0811658;1.1608374;0.7414155;0.4727877;0.022794275;0.028806841;2017
Pakistan;80;5.269;0.72688353;0.6726907;0.40204778;0.23521526;0.12434807;0.31544602;2017
Indonesia;81;5.262;0.9955386;1.2744447;0.49234572;0.44332346;0.0153171355;0.6117046;2017
Venezuela;82;май.25;1.1284312;1.4313376;0.6171442;0.15399712;0.06449112;0.06501963;2017
Montenegro;83;5.237;1.121129;1.2383765;0.6674647;0.19498906;0.088174194;0.19791102;2017
Morocco;84;5.235;0.8781146;0.77486444;0.59771067;0.40815833;0.08776318;0.032209955;2017
Azerbaijan;85;5.234;1.1536018;1.1524003;0.5407758;0.39815584;0.1809875;0.04526934;2017
Dominican Republic;86;май.23;1.0793738;1.4024167;0.57487375;0.55258983;0.11394525;0.18696785;2017
Greece;87;5.227;1.2894875;1.2394146;0.8101989;0.09573125;0.043289777;0.0;2017
Lebanon;88;5.225;1.0749875;1.1296242;0.7350811;0.28851599;0.03751383;0.26445076;2017
Portugal;89;5.195;1.3151753;1.367043;0.79584354;0.4984653;0.015869452;0.09510271;2017
Bosnia and Herzegovina;90;5.182;0.9824094;1.0693359;0.7051863;0.20440318;0.0;0.3288675;2017
Honduras;91;5.181;0.7305731;1.143945;0.5825695;0.34807986;0.07334545;0.23618887;2017
Macedonia;92;5.175;1.0645779;1.207893;0.6449482;0.32590598;0.060277794;0.25376096;2017
Somalia;93;5.151;0.022643184;0.72115135;0.11398914;0.60212696;0.28241032;0.2916313;2017
Vietnam;94;5.074;0.7885476;1.2774913;0.652169;0.5710556;0.08763324;0.23496805;2017
Nigeria;95;5.074;0.78375626;1.2157705;0.05691573;0.39495257;0.026121566;0.2309472;2017
Tajikistan;96;5.041;0.52471364;1.2714633;0.5292351;0.4715667;0.14637715;0.24899764;2017
Bhutan;97;5.011;0.8854164;1.3401265;0.4958793;0.5015377;0.17338039;0.47405455;2017
Kyrgyzstan;98;5.004;0.5962201;1.3942386;0.5534578;0.4549434;0.03943918;0.42858037;2017
Nepal;99;4.962;0.4798202;1.1792833;0.5041308;0.44030595;0.072975546;0.39409617;2017
Mongolia;100;4.955;1.0272359;1.4930112;0.5577835;0.39414397;0.03290229;0.33846423;2017
South Africa;101;4.829;1.0546987;1.3847886;0.18708007;0.47924674;0.0725095;0.13936238;2017
Tunisia;102;4.805;1.0072658;0.86835146;0.61321205;0.2896807;0.08672315;0.049693357;2017
Palestinian Territories;103;4.775;0.7162492;1.1556472;0.565667;0.25471106;0.0892826;0.114173174;2017
Egypt;104;4.735;0.9897018;0.9974714;0.52018726;0.28211015;0.114381365;0.12863144;2017
Bulgaria;105;4.714;1.1614591;1.4343795;0.7082177;0.28923172;0.011051531;0.113177694;2017
Sierra Leone;106;4.709;0.36842093;0.98413604;0.005564754;0.3186977;0.071095176;0.2930409;2017
Cameroon;107;4.695;0.56430537;0.9460182;0.13289212;0.43038875;0.05130663;0.23629846;2017
Iran;108;4.692;1.1568731;0.71155125;0.6393332;0.24932261;0.048761073;0.3872429;2017
Albania;109;4.644;0.99619275;0.80368525;0.73115975;0.38149863;0.039864216;0.20131294;2017
Bangladesh;110;4.608;0.586683;0.73513174;0.53324103;0.47835666;0.12371786;0.17225535;2017
Namibia;111;4.574;0.9644343;1.0984708;0.3386118;0.52030355;0.09314697;0.077133745;2017
Kenya;112;4.553;0.56047946;1.0679507;0.30998835;0.45276377;0.06464132;0.4448603;2017
Mozambique;113;апр.55;0.23430565;0.870701;0.106654435;0.4807911;0.17943639;0.3222281;2017
Myanmar;114;4.545;0.36711055;1.123236;0.39752257;0.51449203;0.1888162;0.83807516;2017
Senegal;115;4.535;0.47930902;1.1796919;0.40936285;0.37792227;0.11546045;0.1834689;2017
Zambia;116;4.514;0.6364068;1.0031873;0.2578359;0.4616035;0.07821355;0.24958014;2017
Iraq;117;4.497;1.1027105;0.9786132;0.50118047;0.28855553;0.107215755;0.19963726;2017
Gabon;118;4.465;1.1982102;1.1556202;0.3565786;0.31232858;0.07604679;0.04378538;2017
Ethiopia;119;апр.46;0.33923385;0.8646692;0.3534097;0.40884274;0.16545571;0.31265074;2017
Sri Lanka;120;апр.44;1.0098501;1.2599764;0.62513083;0.56121325;0.073653966;0.49086356;2017
Armenia;121;4.376;0.90059674;1.0074837;0.6375244;0.19830327;0.026674422;0.08348809;2017
India;122;4.315;0.79222125;0.7543726;0.45542762;0.469987;0.092226885;0.23153849;2017
Mauritania;123;4.292;0.6484573;1.2720308;0.28534928;0.09609804;0.136957;0.20187002;2017
Congo (Brazzaville);124;4.291;0.80896425;0.83204436;0.28995743;0.43502587;0.07961813;0.12085213;2017
Georgia;125;4.286;0.95061266;0.57061493;0.649547;0.30941004;0.25166664;0.054008815;2017
Congo (Kinshasa);126;апр.28;0.09210235;1.2290235;0.19140702;0.23596135;0.060241356;0.24645583;2017
Mali;127;апр.19;0.4761805;1.2814734;0.16936567;0.30661374;0.10497025;0.1833542;2017
Ivory Coast;128;апр.18;0.6030489;0.90478003;0.04864217;0.4477062;0.13006178;0.20123747;2017
Cambodia;129;4.168;0.6017651;1.0062383;0.4297834;0.6333758;0.06810595;0.38592297;2017
Sudan;130;4.139;0.6595167;1.2140086;0.29092082;0.014995855;0.08984752;0.18231745;2017
Ghana;131;04.дек;0.6672248;0.87366474;0.29563773;0.4230263;0.02533637;0.25692394;2017
Ukraine;132;4.096;0.89465195;1.3945376;0.57590395;0.122974776;0.02302947;0.27006146;2017
Uganda;133;4.081;0.38143072;1.1298277;0.2176326;0.44318596;0.05706972;0.32576606;2017
Burkina Faso;134;4.032;0.3502277;1.04328;0.21584426;0.32436785;0.120328106;0.25086468;2017
Niger;135;4.028;0.16192533;0.993025;0.268505;0.3636587;0.13857295;0.22867385;2017
Malawi;136;мар.97;0.23344204;0.51256883;0.31508958;0.46691465;0.072711654;0.28717047;2017
Chad;137;3.936;0.438013;0.9538559;0.041134715;0.16234203;0.053581882;0.21611385;2017
Zimbabwe;138;3.875;0.37584653;1.0830959;0.19676375;0.3363842;0.09537538;0.1891435;2017
Lesotho;139;3.808;0.52102125;1.1900952;0.0;0.3906613;0.11909464;0.15749727;2017
Angola;140;3.795;0.8584282;1.104412;0.049868666;0.0;0.069720335;0.09792649;2017
Afghanistan;141;3.794;0.40147722;0.5815433;0.18074678;0.10617952;0.06115783;0.31187093;2017
Botswana;142;3.766;1.1220942;1.221555;0.3417555;0.50519633;0.0985832;0.09934845;2017
Benin;143;3.657;0.4310854;0.43529984;0.20993021;0.42596278;0.060929015;0.20794846;2017
Madagascar;144;3.644;0.3058087;0.9130204;0.3752233;0.18919677;0.067231975;0.20873253;2017
Haiti;145;3.603;0.36861026;0.6404498;0.27732113;0.030369857;0.09987215;0.48920378;2017
Yemen;146;3.593;0.59168345;0.93538225;0.31008092;0.24946372;0.056767423;0.10412521;2017
South Sudan;147;3.591;0.39724863;0.6013231;0.163486;0.14706244;0.11679351;0.28567082;2017
Liberia;148;3.533;0.11904179;0.87211794;0.2299182;0.33288118;0.03894825;0.2665499;2017
Guinea;149;3.507;0.24454993;0.7912447;0.19412914;0.3485875;0.11093762;0.2648151;2017
Togo;150;3.495;0.30544472;0.43188253;0.24710557;0.38042614;0.095665015;0.19689615;2017
Rwanda;151;3.471;0.3687459;0.945707;0.3264248;0.58184385;0.45522;0.25275603;2017
Syria;152;3.462;0.77715313;0.3961026;0.50053334;0.081539445;0.15134713;0.49366373;2017
Tanzania;153;3.349;0.5111359;1.0419898;0.36450928;0.39001778;0.06603511;0.35425636;2017
Burundi;154;2.905;0.09162257;0.6297936;0.15161079;0.059900753;0.084147945;0.20443518;2017
Central African Republic;155;2.693;0.0;0.0;0.018772686;0.27084205;0.056565076;0.2808765;2017
Finland;1;7.632;1.305;1.592;0.874;0.681;0.393;0.202;2018
Norway;2;7.594;1.456;1.582;0.861;0.686;0.34;0.286;2018
Denmark;3;7.555;1.351;янв.59;0.868;0.683;0.408;0.284;2018
Iceland;4;7.495;1.343;1.644;0.914;0.677;0.138;0.353;2018
Switzerland;5;7.487;янв.42;1.549;0.927;0.66;0.357;0.256;2018
Netherlands;6;7.441;1.361;1.488;0.878;0.638;0.295;0.333;2018
Canada;7;7.328;янв.33;1.532;0.896;0.653;0.291;0.321;2018
New Zealand;8;7.324;1.268;1.601;0.876;0.669;0.389;0.365;2018
Sweden;9;7.314;1.355;1.501;0.913;0.659;0.383;0.285;2018
Australia;10;7.272;янв.34;1.573;0.91;0.647;0.302;0.361;2018
United Kingdom;11;июл.19;1.244;1.433;0.888;0.464;0.082;0.262;2018
Austria;12;7.139;1.341;1.504;0.891;0.617;0.224;0.242;2018
Costa Rica;13;7.072;01.янв;1.459;0.817;0.632;0.101;0.143;2018
Ireland;14;6.977;1.448;1.583;0.876;0.614;0.306;0.307;2018
Germany;15;6.965;янв.34;1.474;0.861;0.586;0.28;0.273;2018
Belgium;16;6.927;1.324;1.483;0.894;0.583;0.24;0.188;2018
Luxembourg;17;июн.91;1.576;янв.52;0.896;0.632;0.321;0.196;2018
United States;18;6.886;1.398;1.471;0.819;0.547;0.133;0.291;2018
Israel;19;6.814;1.301;1.559;0.883;0.533;0.272;0.354;2018
United Arab Emirates;20;6.774;2.096;0.776;0.67;0.284;;0.186;2018
Czech Republic;21;6.711;1.233;1.489;0.854;0.543;0.034;0.064;2018
Malta;22;6.627;янв.27;1.525;0.884;0.645;0.142;0.376;2018
France;23;6.489;1.293;1.466;0.908;0.52;0.176;0.098;2018
Mexico;24;6.488;1.038;1.252;0.761;0.479;0.095;0.069;2018
Chile;25;6.476;1.131;1.331;0.808;0.431;0.061;0.197;2018
Taiwan;26;6.441;1.365;1.436;0.857;0.418;0.078;0.151;2018
Panama;27;июн.43;1.112;1.438;0.759;0.597;0.063;0.125;2018
Brazil;28;6.419;0.986;1.474;0.675;0.493;0.088;0.11;2018
Argentina;29;6.388;1.073;1.468;0.744;0.57;0.054;0.062;2018
Guatemala;30;6.382;0.781;1.268;0.608;0.604;0.071;0.179;2018
Uruguay;31;6.379;1.093;1.459;0.771;0.625;0.155;0.13;2018
Qatar;32;6.374;1.649;1.303;0.748;0.654;0.171;0.256;2018
Saudi Arabia;33;6.371;1.379;1.331;0.633;0.509;0.127;0.098;2018
Singapore;34;6.343;1.529;1.451;1.008;0.631;0.457;0.261;2018
Malaysia;35;6.322;1.161;1.258;0.669;0.356;0.059;0.311;2018
Spain;36;июн.31;1.251;1.538;0.965;0.449;0.074;0.142;2018
Colombia;37;июн.26;0.96;1.439;0.635;0.531;0.039;0.099;2018
Trinidad & Tobago;38;6.192;1.223;1.492;0.564;0.575;0.019;0.171;2018
Slovakia;39;6.173;янв.21;1.537;0.776;0.354;0.014;0.118;2018
El Salvador;40;6.167;0.806;1.231;0.639;0.461;0.082;0.065;2018
Nicaragua;41;6.141;0.668;1.319;0.7;0.527;0.128;0.208;2018
Poland;42;6.123;1.176;1.448;0.781;0.546;0.064;0.108;2018
Bahrain;43;6.105;1.338;1.366;0.698;0.594;0.123;0.243;2018
Uzbekistan;44;6.096;0.719;1.584;0.605;0.724;0.259;0.328;2018
Kuwait;45;6.083;1.474;1.301;0.675;0.554;0.106;0.167;2018
Thailand;46;6.072;1.016;1.417;0.707;0.637;0.029;0.364;2018
Italy;47;6.0;1.264;1.501;0.946;0.281;0.028;0.137;2018
Ecuador;48;5.973;0.889;янв.33;0.736;0.556;0.12;0.114;2018
Belize;49;5.956;0.807;1.101;0.474;0.593;0.089;0.183;2018
Lithuania;50;5.952;1.197;1.527;0.716;0.35;0.006;0.026;2018
Slovenia;51;5.948;1.219;1.506;0.856;0.633;0.051;0.16;2018
Romania;52;5.945;1.116;1.219;0.726;0.528;0.001;0.088;2018
Latvia;53;5.933;1.148;1.454;0.671;0.363;0.066;0.092;2018
Japan;54;5.915;1.294;1.462;0.988;0.553;0.15;0.079;2018
Mauritius;55;5.891;01.сен;1.387;0.684;0.584;0.05;0.245;2018
Jamaica;56;май.89;0.819;1.493;0.693;0.575;0.031;0.096;2018
South Korea;57;5.875;1.266;1.204;0.955;0.244;0.051;0.175;2018
Northern Cyprus;58;5.835;1.229;1.211;0.909;0.495;0.154;0.179;2018
Russia;59;май.81;1.151;1.479;0.599;0.399;0.025;0.065;2018
Kazakhstan;60;май.79;1.143;1.516;0.631;0.454;0.121;0.148;2018
Cyprus;61;5.762;1.229;1.191;0.909;0.423;0.035;0.202;2018
Bolivia;62;5.752;0.751;1.223;0.508;0.606;0.054;0.141;2018
Estonia;63;5.739;01.фев;1.532;0.737;0.553;0.174;0.086;2018
Paraguay;64;5.681;0.835;1.522;0.615;0.541;0.074;0.162;2018
Peru;65;5.663;0.934;1.249;0.674;0.53;0.034;0.092;2018
Kosovo;66;5.662;0.855;янв.23;0.578;0.448;0.023;0.274;2018
Moldova;67;май.64;0.657;1.301;0.62;0.232;0.0;0.171;2018
Turkmenistan;68;5.636;1.016;1.533;0.517;0.417;0.037;0.199;2018
Hungary;69;май.62;1.171;1.401;0.732;0.259;0.022;0.061;2018
Libya;70;5.566;0.985;янв.35;0.553;0.496;0.148;0.116;2018
Philippines;71;5.524;0.775;1.312;0.513;0.643;0.105;0.12;2018
Honduras;72;5.504;0.62;1.205;0.622;0.459;0.074;0.197;2018
Belarus;73;5.483;1.039;1.498;0.7;0.307;0.154;0.101;2018
Turkey;74;5.483;1.148;янв.38;0.686;0.324;0.109;0.106;2018
Pakistan;75;5.472;0.652;0.81;0.424;0.334;0.113;0.216;2018
Hong Kong;76;май.43;1.405;янв.29;01.мар;0.524;0.291;0.246;2018
Portugal;77;май.41;1.188;1.429;0.884;0.562;0.017;0.055;2018
Serbia;78;5.398;0.975;1.369;0.685;0.288;0.043;0.134;2018
Greece;79;5.358;1.154;1.202;0.879;0.131;0.044;0.0;2018
Lebanon;80;5.358;0.965;1.179;0.785;0.503;0.136;0.214;2018
Montenegro;81;5.347;1.017;1.279;0.729;0.259;0.081;0.111;2018
Croatia;82;5.321;1.115;1.161;0.737;0.38;0.039;0.12;2018
Dominican Republic;83;5.302;0.982;1.441;0.614;0.578;0.106;0.12;2018
Algeria;84;5.295;0.979;1.154;0.687;0.077;0.135;0.055;2018
Morocco;85;5.254;0.779;0.797;0.669;0.46;0.074;0.026;2018
China;86;5.246;0.989;1.142;0.799;0.597;0.103;0.029;2018
Azerbaijan;87;5.201;1.024;1.161;0.603;0.43;0.176;0.031;2018
Tajikistan;88;5.199;0.474;1.166;0.598;0.292;0.034;0.187;2018
Macedonia;89;5.185;0.959;1.239;0.691;0.394;0.052;0.173;2018
Jordan;90;5.161;0.822;1.265;0.645;0.468;0.134;0.13;2018
Nigeria;91;5.155;0.689;1.172;0.048;0.462;0.032;0.201;2018
Kyrgyzstan;92;5.131;0.53;1.416;0.594;0.54;0.035;0.281;2018
Bosnia and Herzegovina;93;5.129;0.915;1.078;0.758;0.28;0.0;0.216;2018
Mongolia;94;5.125;0.914;1.517;0.575;0.395;0.032;0.253;2018
Vietnam;95;5.103;0.715;1.365;0.702;0.618;0.079;0.177;2018
Indonesia;96;5.093;0.899;1.215;0.522;0.538;0.018;0.484;2018
Bhutan;97;5.082;0.796;1.335;0.527;0.541;0.171;0.364;2018
Somalia;98;4.982;0.0;0.712;0.115;0.674;0.282;0.238;2018
Cameroon;99;4.975;0.535;0.891;0.182;0.454;0.043;0.183;2018
Bulgaria;100;4.933;1.054;1.515;0.712;0.359;0.009;0.064;2018
Nepal;101;апр.88;0.425;1.228;0.539;0.526;0.078;0.302;2018
Venezuela;102;4.806;0.996;1.469;0.657;0.133;0.052;0.056;2018
Gabon;103;4.758;1.036;1.164;0.404;0.356;0.052;0.032;2018
Palestinian Territories;104;4.743;0.642;1.217;0.602;0.266;0.076;0.086;2018
South Africa;105;4.724;0.94;янв.41;0.33;0.516;0.056;0.103;2018
Iran;106;4.707;1.059;0.771;0.691;0.459;0.129;0.282;2018
Ivory Coast;107;4.671;0.541;0.872;0.08;0.467;0.103;0.146;2018
Ghana;108;4.657;0.592;0.896;0.337;0.499;0.029;0.212;2018
Senegal;109;4.631;0.429;1.117;0.433;0.406;0.082;0.138;2018
Laos;110;4.623;0.72;1.034;0.441;0.626;0.174;0.23;2018
Tunisia;111;4.592;0.9;0.906;0.69;0.271;0.063;0.04;2018
Albania;112;4.586;0.916;0.817;0.79;0.419;0.032;0.149;2018
Sierra Leone;113;4.571;0.256;0.813;0.0;0.355;0.053;0.238;2018
Congo (Brazzaville);114;4.559;0.682;0.811;0.343;0.514;0.077;0.091;2018
Bangladesh;115;04.май;0.532;0.85;0.579;0.58;0.144;0.153;2018
Sri Lanka;116;4.471;0.918;1.314;0.672;0.585;0.05;0.307;2018
Iraq;117;4.456;01.янв;0.971;0.536;0.304;0.095;0.148;2018
Mali;118;4.447;0.37;1.233;0.152;0.367;0.056;0.139;2018
Namibia;119;4.441;0.874;1.281;0.365;0.519;0.064;0.051;2018
Cambodia;120;4.433;0.549;1.088;0.457;0.696;0.065;0.256;2018
Burkina Faso;121;4.424;0.314;1.097;0.254;0.312;0.128;0.175;2018
Egypt;122;4.419;0.885;1.025;0.553;0.312;0.107;0.092;2018
Mozambique;123;4.417;0.198;0.902;0.173;0.531;0.158;0.206;2018
Kenya;124;апр.41;0.493;1.048;0.454;0.504;0.055;0.352;2018
Zambia;125;4.377;0.562;1.047;0.295;0.503;0.082;0.221;2018
Mauritania;126;4.356;0.557;1.245;0.292;0.129;0.093;0.134;2018
Ethiopia;127;апр.35;0.308;0.95;0.391;0.452;0.146;0.22;2018
Georgia;128;апр.34;0.853;0.592;0.643;0.375;0.215;0.038;2018
Armenia;129;4.321;0.816;0.99;0.666;0.26;0.028;0.077;2018
Myanmar;130;4.308;0.682;1.174;0.429;0.58;0.178;0.598;2018
Chad;131;4.301;0.358;0.907;0.053;0.189;0.06;0.181;2018
Congo (Kinshasa);132;4.245;0.069;1.136;0.204;0.312;0.052;0.197;2018
India;133;апр.19;0.721;0.747;0.485;0.539;0.093;0.172;2018
Niger;134;4.166;0.131;0.867;0.221;0.39;0.099;0.175;2018
Uganda;135;4.161;0.322;01.сен;0.237;0.45;0.061;0.259;2018
Benin;136;4.141;0.378;0.372;0.24;0.44;0.067;0.163;2018
Sudan;137;4.139;0.605;янв.24;0.312;0.016;0.082;0.134;2018
Ukraine;138;4.103;0.793;1.413;0.609;0.163;0.011;0.187;2018
Togo;139;3.999;0.259;0.474;0.253;0.434;0.101;0.158;2018
Guinea;140;3.964;0.344;0.792;0.211;0.394;0.094;0.185;2018
Lesotho;141;3.808;0.472;1.215;0.079;0.423;0.112;0.116;2018
Angola;142;3.795;0.73;1.125;0.269;0.0;0.061;0.079;2018
Madagascar;143;3.774;0.262;0.908;0.402;0.221;0.049;0.155;2018
Zimbabwe;144;3.692;0.357;1.094;0.248;0.406;0.099;0.132;2018
Afghanistan;145;3.632;0.332;0.537;0.255;0.085;0.036;0.191;2018
Botswana;146;мар.59;1.017;1.174;0.417;0.557;0.092;0.042;2018
Malawi;147;3.587;0.186;0.541;0.306;0.531;0.08;0.21;2018
Haiti;148;3.582;0.315;0.714;0.289;0.025;0.104;0.392;2018
Liberia;149;3.495;0.076;0.858;0.267;0.419;0.03;0.206;2018
Syria;150;3.462;0.689;0.382;0.539;0.088;0.144;0.376;2018
Rwanda;151;3.408;0.332;0.896;0.4;0.636;0.444;0.2;2018
